Other North American origins,Caribbean origins,Buddhist,No religious affiliation,Non-Aboriginal languages,4 or more bedrooms,Average income ($),Average household total income ($),Prevalence of low income in 2010 based on after-tax low-income measure (%),
0.213697125,0.150476103,0.007141549,0.186458524,0.253616554,0.130379051,0.398654093,0.918375755,8.51E-05,1
0.411190672,0.002027755,0.001774286,0.167416514,0.045054179,0.094734174,0.437107915,0.797617388,0.000169824,2
0.134011267,0.01737802,0.021818008,0.245822591,0.550892772,0.175069226,0.486450874,1.180626373,9.26E-05,1
0.33882037,0.019693654,0.003282276,0.294658842,0.122886413,0.123135071,0.416988263,0.878754724,9.65E-05,0
0.353654743,0.012130638,0.003421462,0.305028512,0.086054951,0.125712805,0.420580612,0.854764126,0.000130638,0
0.409093033,0.005420307,0.002196159,0.295733844,0.056632868,0.104995094,0.341432643,0.645324985,0.000136442,1
0.194426106,0.040365934,0.014099783,0.326652834,0.348957842,0.051542016,0.47206451,0.858096765,0.000172593,1
0.166488639,0.102204312,0.012818023,0.137987959,0.437754904,0.098320062,0.334220237,0.764459118,0.000134978,1
0.055116525,0.088287109,0.013439372,0.045804601,0.704937837,0.15976242,0.343091559,1.016560125,0.00010369,1
0.144825102,0.102237429,0.012560212,0.106784315,0.504479359,0.132354927,0.335245127,0.888965921,9.72E-05,1
0.139085337,0.090664781,0.010749646,0.115275813,0.513719943,0.100282885,0.323536068,0.738613861,0.000142386,1
0.107719488,0.177896648,0.014918781,0.078912499,0.49438092,0.128183737,0.361387839,0.925062571,0.000100113,1
0.303162905,0.013895286,0.005373868,0.302740673,0.105941962,0.092660832,0.284822662,0.552878858,0.000101336,0
0.341906276,0.002986081,0.00110774,0.295525695,0.070124741,0.108654819,0.345788181,0.663372345,0.000127149,0
0.266686281,0.013618023,0.004245124,0.261978816,0.168838265,0.095410222,0.424529254,0.833927371,6.81E-05,1
0.297326688,0.013547802,0.008065247,0.240643407,0.202945174,0.083597644,0.350512007,0.718504758,0.000115995,1
0.350029953,0.004009032,0.003087415,0.193493387,0.173586471,0.081885627,0.313432561,0.602128934,0.000152988,0
0.108682869,0.054537436,0.034055272,0.252058016,0.602753822,0.060172481,0.335721286,0.683055664,0.000174441,0
0.105520009,0.063171023,0.018544626,0.17563171,0.589469689,0.039746231,0.420344865,0.799598742,0.00022991,1
0.068249841,0.036210196,0.029193857,0.319071684,0.713409548,0.095922673,0.377900986,0.810480349,0.000192336,1
0.162783646,0.017334614,0.011977561,0.249608329,0.427048062,0.09748825,0.884873907,1.701410017,0.000161722,1
0.293859459,0.021859111,0.001912129,0.241753944,0.180261614,0.130937378,0.412767807,0.921368041,7.30E-05,1
0.344379836,0.022690508,0.001224151,0.284571329,0.089013247,0.120185371,0.394604993,0.841315088,6.91E-05,0
0.154871841,0.040812649,0.011441957,0.185053381,0.454119555,0.082841569,0.600909951,1.157700797,0.000129736,0
0.357099949,0.003881521,0.002402846,0.284968347,0.14440183,0.102490643,0.350445913,0.700512915,0.000131232,1
0.345372174,0.003048522,0.001905326,0.1743162,0.133838598,0.107672114,0.368972817,0.75978491,7.45E-05,0
0.138955079,0.032344895,0.008031065,0.148971847,0.506089489,0.092048363,0.43478069,0.909125408,0.000111199,2
0.168357974,0.032543085,0.011503805,0.220190709,0.442962121,0.053451142,0.458402589,0.824039892,0.000120724,1
0.077655267,0.109656301,0.016065122,0.085494013,0.627444224,0.062365406,0.252554053,0.579817383,0.000177449,1
0.28689798,0.013050233,0.003625065,0.219005697,0.196271362,0.110305541,0.482889694,1.061574314,6.84E-05,1
0.608331327,0.007657115,0.000866843,0.097616181,0.058463761,0.095641705,0.402475319,0.804642427,0.000101132,0
0.265989216,0.011281626,0.018788884,0.302820406,0.215014517,0.08610535,0.350095396,0.688900871,0.000100373,1
0.323246673,0.007576834,0.001278591,0.256002273,0.104939149,0.103802623,0.348903727,0.700336222,0.00010797,1
0.36962272,0.006032763,0.001670611,0.307902919,0.054944545,0.110121119,0.345547357,0.68386468,0.000115087,0
0.264152871,0.028459023,0.016094421,0.337063151,0.273962804,0.050889025,0.31710607,0.52012058,0.000298385,0
0.227774142,0.019397962,0.012760587,0.222959708,0.3424792,0.066654202,0.32642797,0.644909788,0.000157988,2
0.252914492,0.022242817,0.007121604,0.229061997,0.285059265,0.085751915,0.34028584,0.697790352,0.000143408,1
0.219253865,0.020284647,0.005863161,0.238687408,0.269374439,0.119296421,0.450479928,0.938380065,0.00010497,2
0.403362743,0.002330614,0.001997669,0.265967482,0.03667943,0.108318073,0.380012208,0.752044837,0.000154264,1
0.336559977,0.002529429,0.000535072,0.199533029,0.079385154,0.125693161,0.400214029,0.780941726,0.00010896,1
0.276447606,0.014626327,0.01843318,0.241685033,0.254007213,0.130735324,0.533530355,1.150821479,5.41E-05,1
0.228032294,0.001314307,0.000751033,0.335523845,0.042433346,0.091250469,0.712166729,1.374633872,0.000197146,0
0.108627523,0.027514057,0.024564476,0.113328417,0.559175961,0.15125818,0.465655821,1.141967002,8.66E-05,1
0.335362894,0.008515332,0.003397309,0.300639753,0.124994485,0.097551291,0.36010589,0.661230973,0.000133245,1
0.229864523,0.01434172,0.012902585,0.264751129,0.275668701,0.069177708,0.367416009,0.666071163,0.000165749,1
0.285574943,0.008453452,0.01392652,0.195838301,0.272786388,0.109082042,0.486452802,1.087460713,8.02E-05,1
0.274484403,0.017255674,0.00803192,0.246657685,0.258316924,0.080371023,0.441755622,0.905865893,0.000117111,1
0.35108129,0.002413593,0.000965437,0.273122224,0.095047306,0.109915042,0.360417069,0.717754393,0.000126472,0
0.393362464,0.004941739,0.001560549,0.241260924,0.041302538,0.099927174,0.417166042,0.826862256,0.000118602,1
0.403647167,0.002202643,0.001946522,0.226360004,0.046614076,0.09932384,0.392572482,0.758313697,0.000129085,0
0.294344746,0.017479106,0.009460778,0.298884222,0.236349752,0.074837724,0.278825676,0.542938356,0.000150185,0
0.245480495,0.011417697,0.010249978,0.330118502,0.247037454,0.090909091,0.348750108,0.613701237,0.000169536,0
0.267839729,0.014627941,0.003137587,0.276022896,0.213016748,0.106465974,0.368251007,0.692948908,0.000116176,2
0.161897729,0.043612701,0.01790659,0.22613993,0.429527414,0.156128854,0.444886469,1.027958279,7.75E-05,1
0.060995263,0.040728622,0.055086194,0.256629389,0.736436001,0.153342775,0.349416418,0.993084925,0.000148459,1
0.071932773,0.02304922,0.05214886,0.397791116,0.728595438,0.167683073,0.448316927,1.141118848,0.000135414,1
0.272090486,0.035712235,0.006373084,0.197393351,0.321123041,0.136073951,0.578262617,1.25889648,7.81E-05,1
0.07340187,0.046325676,0.029106909,0.152345898,0.678935567,0.087193806,0.308854762,0.690612176,0.000132843,0
0.087439594,0.051712032,0.027095122,0.12742142,0.651439428,0.080335385,0.286373962,0.625104291,0.000137128,0
0.108731113,0.053313874,0.020518544,0.154919299,0.56589114,0.136289492,0.378751717,0.922330014,0.000100446,1
0.193173102,0.031108838,0.009247422,0.204636495,0.392141822,0.112971959,0.458987471,0.95932839,0.000114208,1
0.079701174,0.090160085,0.030565635,0.099551761,0.658484525,0.111419424,0.289366062,0.74141302,0.000128922,1
0.163018263,0.056223375,0.01556371,0.156101059,0.465477245,0.124847104,0.376160952,0.902332448,7.34E-05,1
0.256726078,0.023523161,0.018209921,0.217166594,0.317248708,0.122735835,0.48691494,1.052668695,6.18E-05,1
0.257621178,0.021768206,0.026195637,0.255638057,0.260711156,0.14730434,0.444237421,0.989660102,7.47E-05,1
0.320240674,0.007894103,0.002454874,0.217569194,0.125583634,0.086257521,0.340948255,0.654527076,0.000138628,1
0.276758654,0.01004945,0.004825331,0.231615888,0.1806907,0.086497049,0.285197001,0.559881959,0.000106078,1
0.294283698,0.005351682,0.001529052,0.226358504,0.126970125,0.103740296,0.511750176,1.084733004,8.23E-05,1
0.524426166,0.00216751,0.001278275,0.139220808,0.04790752,0.102928917,0.444295004,0.881431668,0.000111154,0
0.432473275,0.003078301,0.001511166,0.24452902,0.040745508,0.109643477,0.421525718,0.790104662,0.000158952,0
0.390847927,0.006966646,0.001336069,0.275516534,0.057641838,0.104070239,0.369260867,0.740048671,0.000106886,1
0.203659103,0.021464486,0.007267503,0.221109562,0.295094435,0.155533021,0.566459627,1.229416487,7.61E-05,1
0.212924899,0.026919507,0.007116651,0.19480175,0.326923927,0.142554038,0.519135393,1.126393493,6.45E-05,1
0.347011165,0.027127252,0.004554799,0.294288363,0.112499496,0.085009472,0.300141078,0.580249103,0.000118505,1
0.243462415,0.01690205,0.016719818,0.352072893,0.281548975,0.063872437,0.491480638,0.806068337,0.000145786,1
0.387184269,0.042083404,0.006229869,0.168079335,0.208594677,0.128072555,0.442702153,0.970444143,4.24E-05,1
0.227584202,0.032850201,0.015199967,0.19548154,0.410274513,0.091282861,0.374218198,0.725603223,0.000147016,0
0.319303812,0.039382203,0.008632355,0.225047828,0.314264383,0.066492464,0.418636555,0.72023704,0.000183846,1
0.235673451,0.023142008,0.019071576,0.239469472,0.344523211,0.092339355,0.399515207,0.738321518,0.000152756,1
0.343991025,0.00603001,0.00252419,0.271490675,0.1055018,0.097882485,0.357593605,0.702930865,0.000106577,1
0.165902439,0.028487805,0.042195122,0.341170732,0.425268293,0.058829268,0.489287805,0.842819512,0.000174634,1
0.338798123,0.004805246,0.001695969,0.312058341,0.05167053,0.102945333,0.401876873,0.779784047,0.000144723,0
0.338604515,0.003405995,0.001848968,0.198326197,0.135801868,0.098530557,0.363760218,0.729768392,0.000103153,1
0.372032131,0.006923179,0.003861004,0.288377047,0.065637066,0.104602139,0.326738561,0.62134647,0.000131363,0
0.241519361,0.091706281,0.002907648,0.239719389,0.210550607,0.140443993,0.445008538,1.021230443,7.66E-05,0
0.33266513,0.003457953,0.001653804,0.195549764,0.051618723,0.106194247,0.371985567,0.706394708,0.00011727,1
0.084620364,0.018080089,0.030148895,0.289003977,0.662397115,0.136271155,0.407435494,0.941931009,0.000134098,1
0.336524923,0.00912419,0.00625176,0.197521825,0.148859476,0.141312306,0.644212898,1.391450296,5.52E-05,0
0.26728705,0.016169899,0.005850647,0.249596904,0.189800525,0.077071912,0.325406551,0.606624591,0.000144654,1
0.149353852,0.04286278,0.011689849,0.267238828,0.390253527,0.059041136,0.694623656,1.147459801,0.000145013,1
0.334928459,0.007417333,0.002249127,0.27740824,0.077666651,0.101928506,0.4010145,0.749476001,0.000138776,0
0.28881158,0.002422812,0.000310617,0.248431385,0.103124806,0.081505871,0.466819904,0.868758154,0.000173945,1
0.063979093,0.038910129,0.055655036,0.365048638,0.751730146,0.088757683,0.281430576,0.663166046,0.000212941,1
0.119798705,0.063417362,0.017380364,0.163878664,0.580960813,0.056008574,0.285075253,0.599506081,0.000195704,1
0.111210628,0.097526994,0.011693288,0.135443101,0.535254018,0.073593074,0.315669005,0.665532169,0.000238842,1
0.056501123,0.064237584,0.064636885,0.333316696,0.747142501,0.105964562,0.282735213,0.742670327,0.00018268,1
0.121169098,0.134583374,0.009595613,0.138842652,0.454127093,0.132674043,0.360540488,0.893997846,0.000136101,1
0.161607954,0.062281918,0.015343435,0.219253382,0.454710578,0.059318388,0.337756321,0.664193872,0.000225611,1
0.354922166,0.006095155,0.002324052,0.274018856,0.088094716,0.116246437,0.358053059,0.722920412,8.51E-05,0
0.369641171,0.005618508,0.000566572,0.268838527,0.068555241,0.103116147,0.344315392,0.662124646,0.000131256,0
0.138410433,0.033156988,0.036355807,0.397330217,0.450356791,0.018885335,0.698462106,1.084325787,0.000211614,1
0.47289767,0.002988855,0.001874367,0.132776089,0.070719352,0.090273556,0.353232016,0.668905775,0.000158055,0
0.376326168,0.00405488,0.002055213,0.206743321,0.106148975,0.084374826,0.445581292,0.794267622,0.000187746,1
0.093002052,0.018235696,0.020332801,0.146888534,0.598586734,0.142284021,0.429423296,1.016649191,9.76E-05,0
0.242361154,0.00226563,0.001653297,0.271569408,0.087930929,0.09344192,0.460510685,0.86805462,0.000169004,1
0.238749,0.003016684,0.001292865,0.259927353,0.122699009,0.104845164,0.489269224,0.900905005,0.000164994,1
0.428357744,0.002555313,0.000747897,0.19351823,0.043564974,0.096354004,0.481096915,0.902013088,0.000185728,2
0.137648892,0.038350217,0.027218079,0.350050095,0.483413114,0.01046421,0.471690972,0.704519648,0.00034621,1
0.171410438,0.036469267,0.046233462,0.383586389,0.417516965,0.05414246,0.448264414,0.832397598,0.000167944,1
0.15325102,0.020719623,0.024429018,0.406814689,0.426951407,0.070637486,0.75901648,1.317630226,0.000201367,1
0.075756851,0.015352241,0.025252284,0.066908987,0.638194079,0.172939882,0.427461859,1.093127361,8.32E-05,1
0.237189594,0.010199054,0.009016555,0.272615294,0.281976744,0.10696689,0.48454868,0.990461175,0.000104454,1
0.310438596,0.010833333,0.001885965,0.265131579,0.115701754,0.127894737,0.441061404,0.955307018,5.35E-05,1
0.295090826,0.058652367,0.004198362,0.234651037,0.168474872,0.138629089,0.414956146,0.906430561,7.23E-05,0
0.067362516,0.014759978,0.029152106,0.304441788,0.713858746,0.068695972,0.386656244,0.762276991,0.00021979,1
0.268823787,0.010931351,0.003104504,0.193353739,0.241495409,0.078574552,0.323935286,0.607354613,0.000153913,1
0.234580557,0.013326499,0.017426961,0.194729199,0.360157184,0.08397403,0.285819238,0.526858022,0.000225525,2
0.088892243,0.058355971,0.028725224,0.127427307,0.658768488,0.061525304,0.3598853,0.734138243,0.000196197,2
0.330863004,0.011331293,0.007357285,0.307341174,0.149616025,0.115407336,0.442500403,0.964395038,9.67E-05,1
0.094503963,0.132828151,0.038498389,0.126034318,0.582527654,0.039674244,0.272075603,0.536451529,0.000191621,0
0.072890501,0.13005861,0.059866034,0.123406829,0.639315285,0.057447204,0.242748163,0.530914504,0.000225137,1