Ajax--Pickering (Ontario) , 1
Algoma--Manitoulin--Kapuskasing (Ontario) , 1
Ancaster--Dundas--Flamborough--Westdale (Ontario) , 0
Barrie (Ontario) , 0
Beaches--East York (Ontario) , 1
Bramalea--Gore--Malton (Ontario) , 1
Brampton--Springdale (Ontario) , 1
Brampton West (Ontario) , 1
Brant (Ontario) , 1
Burlington (Ontario) , 0
Cambridge (Ontario) , 0
Carleton--Mississippi Mills (Ontario) , 0
Chatham-Kent--Essex (Ontario) , 0
Durham (Ontario) , 0
Davenport (Ontario) , 1
Don Valley East (Ontario) , 1
Don Valley West (Ontario) , 1
Dufferin--Caledon (Ontario) , 0
Eglinton--Lawrence (Ontario) , 1
Elgin--Middlesex--London (Ontario) , 0
Essex (Ontario) , 0
Etobicoke Centre (Ontario) , 1
Etobicoke--Lakeshore (Ontario) , 1
Etobicoke North (Ontario) , 1
Glengarry--Prescott--Russell (Ontario) , 0
Bruce--Grey--Owen Sound (Ontario) , 0
Guelph (Ontario) , 1
Haldimand--Norfolk (Ontario) , 0
Haliburton--Kawartha Lakes--Brock (Ontario) , 0
Halton (Ontario) , 0
Hamilton Centre (Ontario) , 2
Hamilton East--Stoney Creek (Ontario) , 2
Hamilton Mountain (Ontario) , 2
Huron--Bruce (Ontario) , 1
Kenora (Ontario) , 1
Kingston and the Islands (Ontario) , 1
Kitchener Centre (Ontario) , 1
Kitchener--Conestoga (Ontario) , 0
Kitchener--Waterloo (Ontario) , 1
Lanark--Frontenac--Lennox and Addington (Ontario) , 0
Leeds--Grenville (Ontario) , 0
London--Fanshawe (Ontario) , 2
London North Centre (Ontario) , 1
London North Centre (Ontario) , 1
London West (Ontario) , 1
Markham--Unionville (Ontario) , 1
Lambton--Kent--Middlesex (Ontario) , 0
Mississauga--Brampton South (Ontario) , 1
Mississauga East--Cooksville (Ontario) , 1
Mississauga--Erindale (Ontario) , 1
Mississauga South (Ontario) , 1
Mississauga--Streetsville (Ontario) , 1
Nepean--Carleton (Ontario) , 0
Newmarket--Aurora (Ontario) , 1
Niagara Falls (Ontario) , 0
Niagara West--Glanbrook (Ontario) , 0
Nickel Belt (Ontario) , 1
Nipissing--Timiskaming (Ontario) , 1
Northumberland--Quinte West (Ontario) , 0
Oak Ridges--Markham (Ontario) , 1
Oakville (Ontario) , 1
Oshawa (Ontario) , 0
Ottawa Centre (Ontario) , 2
Ottawa--Orléans (Ontario) , 0
Ottawa South (Ontario) , 1
Ottawa--Vanier (Ontario) , 1
Ottawa West--Nepean (Ontario) , 0
Oxford (Ontario) , 0
Parkdale--High Park (Ontario) , 2
Parry Sound--Muskoka (Ontario) , 0
Perth--Wellington (Ontario) , 0
Peterborough (Ontario) , 0
Pickering--Scarborough East (Ontario) , 1
Prince Edward--Hastings (Ontario) , 0
Renfrew--Nipissing--Pembroke (Ontario) , 0
Richmond Hill (Ontario) , 1
St. Catharines (Ontario) , 0
St. Paul's (Ontario) , 1
Sarnia--Lambton (Ontario) , 0
Sault Ste. Marie (Ontario) , 2
Scarborough--Agincourt (Ontario) , 1
Scarborough Centre (Ontario) , 1
Scarborough--Guildwood (Ontario) , 1
Scarborough--Rouge River (Ontario) , 1
Scarborough Southwest (Ontario) , 1
Simcoe--Grey (Ontario) , 0
Simcoe North (Ontario) , 0
Stormont--Dundas--South Glengarry (Ontario) , 0
Sudbury (Ontario) , 1
Thornhill (Ontario) , 1
Thunder Bay--Rainy River (Ontario) , 1
Thunder Bay--Superior North (Ontario) , 1
Timmins--James Bay (Ontario) , 2
Toronto Centre (Ontario) , 1
Toronto--Danforth (Ontario) , 2
Trinity--Spadina (Ontario) , 2
Vaughan (Ontario) , 1
Welland (Ontario) , 1
Wellington--Halton Hills (Ontario) , 0
Whitby--Oshawa (Ontario) , 0
Willowdale (Ontario) , 1
Windsor--Tecumseh (Ontario) , 2
Windsor West (Ontario) , 2
York Centre (Ontario) , 1
York--Simcoe (Ontario) , 0
York South--Weston (Ontario) , 1